campaign_id,campaign_name,Campaign_Type,Company,Role,Location,City_Size,platform,Is_Facebook,Is_LinkedIn,Is_Snapchat,Is_TikTok,total_impressions,total_clicks,total_spend,campaign_days,ctr_percent,CTR_Category,cpc_sek,CPC_Category,Daily_Spend,Clicks_Per_Day,Cost_Efficiency
120208368358920289,Atlas Copco Industrial - Business Development Manager - Stockholm - Facebook & Instagram Boost - Position ID: (53257) - MOA,Other,Atlas Copco Industrial,Chef,Stockholm,Stor stad,facebook,1,0,0,0,40299,1141,2670.0,15,2.8313357651554627,Medium,2.3400525854513585,Low,178.0,76.06666666666666,42.734082397003746
120208099559960289,Atlas Copco Industrial - HR Business Partner - Stockholm - Facebook & Instagram Boost - Position ID: (53134) - SIMON,Other,Atlas Copco Industrial,,Stockholm,Stor stad,facebook,1,0,0,0,39393,641,2670.0,15,1.627192648440078,Low,4.1653666146645865,Low,178.0,42.733333333333334,24.00749063670412
23857902446340288,Atlas Copco Industrial Technique - System Architect requirements for advanced industrial systems - Stockholm - Boost - Position ID: (47396) - AGNES,Other,Atlas Copco Industrial Technique,,Stockholm,Stor stad,facebook,1,0,0,0,68122,765,2670.0,14,1.1229852323772056,Low,3.4901960784313726,Low,190.71428571428572,54.642857142857146,28.651685393258425
120211595223360788,Moberg Bil - Annonsproducent Moberg Bil - Göteborg - Boost - Position ID: (55809) - SIMON,Other,Moberg Bil,,Göteborg,Stor stad,facebook,1,0,0,0,42913,1272,2670.0,15,2.96413674177988,Medium,2.099056603773585,Low,178.0,84.8,47.640449438202246
120203010139910289,Atlas Copco Industrial - Inside Sales - Västerås - Boost - Position ID: (50092) - AGNES,Other,Atlas Copco Industrial,Säljare,Västerås,Mellanstor stad,facebook,1,0,0,0,52020,1391,2670.0,15,2.673971549404075,Medium,1.9194823867721065,Very Low,178.0,92.73333333333333,52.09737827715356
120202876607680606,Lindex - Butikschef till Lindex - Borlänge - Boost - Website ID: (3270857) - AGNES,Recruitment,Lindex,Chef,Borlänge,Liten stad,facebook,1,0,0,0,84487,3387,2670.0,15,4.0089007776344285,High,0.7883082373782108,Very Low,178.0,225.8,126.85393258426967
120206367648890289,"Atlas Copco Industrial - Executive Assistant, Industrial Technique Business Area - Stockholm - Boost - Position ID: (52116) - MOA",Other,Atlas Copco Industrial,,Stockholm,Stor stad,facebook,1,0,0,0,40915,940,2670.0,15,2.297445924477575,Medium,2.8404255319148937,Low,178.0,62.666666666666664,35.2059925093633
120200795190450289,Atlas Copco Industrial - Senior Learning Professional - Stockholm - Boost - Position ID: (49440) - MOA,Other,Atlas Copco Industrial,,Stockholm,Stor stad,facebook,1,0,0,0,26143,688,2670.0,15,2.631679608308151,Medium,3.880813953488372,Low,178.0,45.86666666666667,25.767790262172284
120206655924980459,Stockholms Sjukhem - Sjuksköterska till geriatriken Kungsholmen - Kungsholmen - Standard Boost - Position ID: (1415) - AGNES,Recruitment,Stockholms Sjukhem,Sjuksköterska,Stockholm,Stor stad,facebook,1,0,0,0,51181,986,2670.0,15,1.9264961606846287,Low,2.707910750507099,Low,178.0,65.73333333333333,36.92883895131086
120206948017870289,Atlas Copco Industrial - Global Mobility & Compensation and Benefit Specialist - Stockholm - Boost - Position ID: (52478) - LINNEA,Recruitment,Atlas Copco Industrial,Specialist,Stockholm,Stor stad,facebook,1,0,0,0,54195,453,2670.0,15,0.8358704677553279,Very Low,5.894039735099337,Medium,178.0,30.2,16.96629213483146
120209841165000558,Cabonline - Medarbetare till Planeringsavdelningen - Huvudsta - Facebook & Instagram Boost  - Position ID (53091) - MOA,Other,Cabonline,VD,Unknown,Unknown,facebook,1,0,0,0,40940,1214,2670.0,15,2.965315095261358,Medium,2.199341021416804,Low,178.0,80.93333333333334,45.46816479400749
120207940395260062,Dufry Sverige  - HMSHost söker Restaurangbiträden - Stockholm Arlanda - Boost - Position ID: (49219) - MOA,Recruitment,Dufry Sverige,,Stockholm,Stor stad,facebook,1,0,0,0,40818,1081,2670.0,15,2.648341418001862,Medium,2.4699352451433856,Low,178.0,72.06666666666666,40.48689138576779
120201447041880062,Dufry Sverige  - HMSHost söker heltidspersonal till 60 Bar & Brewery till Arlanda - Stockholm Arlanda - Boost - Position ID: (48483) - MOA,Recruitment,Dufry Sverige,,Stockholm,Stor stad,facebook,1,0,0,0,41180,1448,2670.0,15,3.516270033997086,High,1.8439226519337015,Very Low,178.0,96.53333333333333,54.232209737827716
23859202829160781,Boxhill (TeknoDetaljer) - PLC-programmerare - Stockholm - Boost - Position ID (47697) - MOA,Other,Boxhill (TeknoDetaljer),,Stockholm,Stor stad,facebook,1,0,0,0,60746,1337,2670.0,15,2.200967964968887,Medium,1.9970082273747196,Very Low,178.0,89.13333333333334,50.074906367041194
120214162246800592,Sandhs - Anläggare inom VA - Kinna - Facebook & Instagram Boost - Position ID (54703) - SIMON,Other,Sandhs,,Unknown,Unknown,facebook,1,0,0,0,55109,1311,2670.0,15,2.378921773213087,Medium,2.0366132723112127,Low,178.0,87.4,49.10112359550562
120209392945630685,NTEX Inrikes - Terminal / Lagerarbetare till Ntex Inrikes - Göteborg - Boost - Position ID (54885) - SIMON,Other,NTEX Inrikes,Lagerarbetare,Göteborg,Stor stad,facebook,1,0,0,0,56421,3595,2670.0,15,6.371741018415129,Very High,0.7426981919332406,Very Low,178.0,239.66666666666666,134.64419475655433
120200822544620278,"ISG Nordic - Servicetekniker, säkerhet - Stockholmsregionen/Mellersta Sverige - Boost - Position ID: (48771) - MOA",Product/Service,ISG Nordic,Tekniker,Stockholm,Stor stad,facebook,1,0,0,0,27066,706,2670.0,15,2.6084386314933865,Medium,3.7818696883852687,Low,178.0,47.06666666666667,26.44194756554307
