campaign_id,campaign_name,Campaign_Type,Company,Role,Location,City_Size,platform,Is_Facebook,Is_LinkedIn,Is_Snapchat,Is_TikTok,total_impressions,total_clicks,total_spend,campaign_days,ctr_percent,CTR_Category,cpc_sek,CPC_Category,Daily_Spend,Clicks_Per_Day,Cost_Efficiency
120201795861910721,Vianor - Vianor söker Bilmekaniker - Malmö - Boost Auto - Position ID (49667) - LINNEA,Recruitment,Vianor,Mekaniker,Malmö,Stor stad,facebook,1,0,0,0,58376,876,3830.0,15,1.500616691791147,Low,4.372146118721461,Low,255.33333333333334,58.4,22.87206266318538
120200120532410721,Vianor - Vianor söker platschef till Vara - Vara - Boost - Position ID: (48525) - SIMON,Recruitment,Vianor,Chef,Unknown,Unknown,facebook,1,0,0,0,70769,2317,3829.99,15,3.2740324153230937,High,1.6529952524816571,Very Low,255.33266666666665,154.46666666666667,60.49624150454701
120220468193400176,Almab (Nolyx) - Two-Step Advertising - Step 1/2 - Automationsingenjör/tekniker - Ljusdal/flexibel - Position ID: (61511) - SIMON [21944907023],Recruitment,Almab (Nolyx),Tekniker,Unknown,Unknown,facebook,1,0,0,0,21876,1201,3827.14,15,5.49003474126897,Very High,3.1866278101582015,Low,255.14266666666666,80.06666666666666,31.381135782856127
ce8f1cfa-720a-40c4-bdb9-c6389a27bddf,Hurtigruta Carglass - Vi søker en bilglasstekniker til vår avdeling Hønefoss! - Hønefoss - Boost Auto - Position ID (56987) - LINNEA,Recruitment,Hurtigruta Carglass,Tekniker,Unknown,Unknown,snapchat,0,0,1,0,27215,445,3815.0,15,1.6351276869373508,Low,8.573033707865168,Medium,254.33333333333334,29.666666666666668,11.66448230668414
23862012880330316,SMP Svensk Maskinprovning AB - Rekryteringsprojekt - Certifieringsingenjörer/Provningsledare - Umeå - Position ID: (48598/47368) - MOA,Recruitment,SMP Svensk Maskinprovning AB,Chef,Umeå,Mellanstor stad,facebook,1,0,0,0,48976,956,3800.0,26,1.9519764782750737,Low,3.97489539748954,Low,146.15384615384616,36.76923076923077,25.157894736842106
346548383,MLT Maskin & Laserteknik - Applikationsingenjörer inom vibrationsmätning - Stockholm/Södertälje - Boost Plus - Position ID (56846) - LINNEA,Recruitment,MLT Maskin & Laserteknik,Ingenjör,Stockholm,Stor stad,linkedin,0,1,0,0,3135,26,3780.0,29,0.8293460925039872,Very Low,145.3846153846154,Very High,130.3448275862069,0.896551724137931,0.6878306878306878
120217381470330508,Göteborgs Stad Äldrevårdsomsorgsförvaltningen - Sjuksköterska till sydvästra Göteborg - Göteborg - Boost - Web ID: () - AGNES [20688277361],Recruitment,Göteborgs Stad Äldrevårdsomsorgsförvaltningen,Sjuksköterska,Göteborg,Stor stad,facebook,1,0,0,0,104202,5182,3601.79,21,4.973033147156484,High,0.6950578927055191,Very Low,171.51380952380953,246.76190476190476,143.8729076375913
371281573,"Menigo - Two-Step Advertising - Step 1/2 - Utesäljare - Norrköping, Linköping, Stockholm, Göteborg, Malmö - Position ID: (61074) - AGNES [21279911029]",Recruitment,Menigo,Säljare,Stockholm,Stor stad,linkedin,0,1,0,0,7510,100,3600.0,23,1.3315579227696404,Low,36.0,Very High,156.52173913043478,4.3478260869565215,2.7777777777777777
120205951649010756,Coop - SAP Chef till Coop Sverige - Framtidens varuförsörjning! - Solna - IT Boost - Uptrail ID (33078) - SIMON,Recruitment,Coop,Chef,Solna,Liten stad,facebook,1,0,0,0,72349,2828,3599.99,30,3.9088308062309087,High,1.2729809052333805,Very Low,119.99966666666666,94.26666666666667,78.55577376603824
23858346908020755,Coop Gotland - Försäljningschef - Gotland - Boost Premium - Position ID (47515) - MOA,Recruitment,Coop Gotland,Chef,Unknown,Unknown,facebook,1,0,0,0,91377,3868,3599.99,15,4.233012683716908,High,0.930710961737332,Very Low,239.9993333333333,257.8666666666667,107.44474290206362
120216215703640656,"Menigo - Two-Step Advertising - Step 1/2 - Utesäljare - Norrköping, Linköping, Stockholm, Göteborg, Malmö - Position ID: (61074) - AGNES [21279911029]",Recruitment,Menigo,Säljare,Stockholm,Stor stad,facebook,1,0,0,0,56364,2301,3599.28,23,4.082393016819246,High,1.5642242503259451,Very Low,156.4904347826087,100.04347826086956,63.9294525571781
120211825706210026,Carglass - Bilglastekniker till Carglass® Skövde - Skövde - Boost Auto - Position ID: (55151) - EDVIN,Recruitment,Carglass,Tekniker,Skövde,Liten stad,facebook,1,0,0,0,56220,787,3563.3338,15,1.39985770188545,Low,4.5277430749682335,Low,237.55558666666667,52.46666666666667,22.086058847475922
120211829524390026,Carglass - Bilglastekniker till Carglass® - Oskarshamn - Boost Auto - Position ID: (55158) - EDVIN,Recruitment,Carglass,Tekniker,Unknown,Unknown,facebook,1,0,0,0,51120,828,3561.6472,15,1.6197183098591548,Low,4.301506280193236,Low,237.44314666666665,55.2,23.24767034758524
